source_id,image,caption,dominant_color,primary_shape,noun_phrase
00000,D:\openclaw-thalamus-cache\data\coco_5k\00000\image.jpg,A woman wearing a net on her head cutting a cake.,,,
00001,D:\openclaw-thalamus-cache\data\coco_5k\00001\image.jpg,A woman cutting a large white sheet cake.,,,
00002,D:\openclaw-thalamus-cache\data\coco_5k\00002\image.jpg,A woman wearing a hair net cutting a large sheet cake.,,,
00003,D:\openclaw-thalamus-cache\data\coco_5k\00003\image.jpg,there is a woman that is cutting a white cake,,,
00004,D:\openclaw-thalamus-cache\data\coco_5k\00004\image.jpg,A woman marking a cake with the back of a chef's knife.,,,
00005,D:\openclaw-thalamus-cache\data\coco_5k\00005\image.jpg,A young boy standing in front of a computer keyboard.,,,
00006,D:\openclaw-thalamus-cache\data\coco_5k\00006\image.jpg,a little boy wearing headphones and looking at a computer monitor,,,
00007,D:\openclaw-thalamus-cache\data\coco_5k\00007\image.jpg,He is listening intently to the computer at school.,,,
00008,D:\openclaw-thalamus-cache\data\coco_5k\00008\image.jpg,A young boy stares up at the computer monitor.,,,
00009,D:\openclaw-thalamus-cache\data\coco_5k\00009\image.jpg,a young kid with head phones on using a computer,,,
00010,D:\openclaw-thalamus-cache\data\coco_5k\00010\image.jpg,a boy wearing headphones using one computer in a long row of computers,,,
00011,D:\openclaw-thalamus-cache\data\coco_5k\00011\image.jpg,A little boy with earphones on listening to something.,,,
00012,D:\openclaw-thalamus-cache\data\coco_5k\00012\image.jpg,A group of people sitting at desk using computers.,,,
00013,D:\openclaw-thalamus-cache\data\coco_5k\00013\image.jpg,Children sitting at computer stations on a long table.,,,
00014,D:\openclaw-thalamus-cache\data\coco_5k\00014\image.jpg,A small child wearing headphones plays on the computer.,,,
00015,D:\openclaw-thalamus-cache\data\coco_5k\00015\image.jpg,A man is in a kitchen making pizzas.,,,
00016,D:\openclaw-thalamus-cache\data\coco_5k\00016\image.jpg,Man in apron standing on front of oven with pans and bakeware,,,
00017,D:\openclaw-thalamus-cache\data\coco_5k\00017\image.jpg,A baker is working in the kitchen rolling dough.,,,
00018,D:\openclaw-thalamus-cache\data\coco_5k\00018\image.jpg,A person standing by a stove in a kitchen.,,,
00019,D:\openclaw-thalamus-cache\data\coco_5k\00019\image.jpg,A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.,,,
00020,D:\openclaw-thalamus-cache\data\coco_5k\00020\image.jpg,A woman in a room with a cat.,,,
