source_id,image,caption,dominant_color,primary_shape,noun_phrase
00000,D:\openclaw-thalamus-cache\data\coco_5k\00000\image.jpg,A woman wearing a net on her head cutting a cake.,white,rectangular,white rectangular cake
00070,D:\openclaw-thalamus-cache\data\coco_5k\00070\image.jpg,"A kitchen with a stove, microwave and refrigerator.",black,rectangular,black rectangular stove
00075,D:\openclaw-thalamus-cache\data\coco_5k\00075\image.jpg,The dining table near the kitchen has a bowl of fruit on it.,orange,round,orange round fruit
00085,D:\openclaw-thalamus-cache\data\coco_5k\00085\image.jpg,A large boat filled with mean on wheels.,white,long,white long boat
00130,D:\openclaw-thalamus-cache\data\coco_5k\00130\image.jpg,a blue bike parked on a side walk,blue,long,blue long bicycle
00145,D:\openclaw-thalamus-cache\data\coco_5k\00145\image.jpg,A bicycle store shows two males leaning toward a bike.,black,long,black long bicycle
00170,D:\openclaw-thalamus-cache\data\coco_5k\00170\image.jpg,A white toilet sitting next to a green wall under a picture.,white,rectangular,white rectangular toilet
00175,D:\openclaw-thalamus-cache\data\coco_5k\00175\image.jpg,This is an image of the inside of a nice bathroom.,white,oval,white oval toilet
00190,D:\openclaw-thalamus-cache\data\coco_5k\00190\image.jpg,The bathroom is clean for the guests to use.,white,oval,white oval bathtub
00210,D:\openclaw-thalamus-cache\data\coco_5k\00210\image.jpg,Blue dust pan and brush on floor next to white commode.,white,oval,white oval toilet
00225,D:\openclaw-thalamus-cache\data\coco_5k\00225\image.jpg,a gray bicycle is locked to some metal doors,white,long,white long bicycle
00291,D:\openclaw-thalamus-cache\data\coco_5k\00291\image.jpg,A glazed donut hanging from a metal rod.,tan,round,tan round bagel
00301,D:\openclaw-thalamus-cache\data\coco_5k\00301\image.jpg,A large jetliner flying over a traffic filled street.,white,long,white long airplane
00306,D:\openclaw-thalamus-cache\data\coco_5k\00306\image.jpg,A silver and red bus in parking lot next to cars.,gray,rectangular,gray rectangular bus
00331,D:\openclaw-thalamus-cache\data\coco_5k\00331\image.jpg,The shiny motorcycle has been put on display.,black,long,black long motorcycle
00346,D:\openclaw-thalamus-cache\data\coco_5k\00346\image.jpg,a motorcycle in a driveway with a vanity license plate,black,long,black long motorcycle
00351,D:\openclaw-thalamus-cache\data\coco_5k\00351\image.jpg,A picture of a wooden container with crosses on it.,brown,cylindrical,brown cylindrical cup
00366,D:\openclaw-thalamus-cache\data\coco_5k\00366\image.jpg,A small closed toilet in a cramped space.,white,oval,white oval toilet
00386,D:\openclaw-thalamus-cache\data\coco_5k\00386\image.jpg,The shiny motorcycle is being shown on a display.,black,long,black long motorcycle
00401,D:\openclaw-thalamus-cache\data\coco_5k\00401\image.jpg,A motorcycle sitting on the side of a street corner.,black,long,black long motorcycle
00411,D:\openclaw-thalamus-cache\data\coco_5k\00411\image.jpg,A purple motorcycle parked in front of a red brick building.,blue,long,blue long motorcycle
00426,D:\openclaw-thalamus-cache\data\coco_5k\00426\image.jpg,Two blue bowls of food next to a bottle of cinnamon and sugar.,blue,round,blue round bowl
00431,D:\openclaw-thalamus-cache\data\coco_5k\00431\image.jpg,Rows of motor bikes and helmets in a city,black,long,black long motorcycle
00456,D:\openclaw-thalamus-cache\data\coco_5k\00456\image.jpg,"A building wall and pair of doors that are open, along with vases of flowers on the outside of the building.",brown,rectangular,brown rectangular door
00471,D:\openclaw-thalamus-cache\data\coco_5k\00471\image.jpg,this living room has a small tv and a lamp next to it,black,rectangular,black rectangular television
00491,D:\openclaw-thalamus-cache\data\coco_5k\00491\image.jpg,A large pitcher of some beverage is on the table next to orange slices.,brown,cylindrical,brown cylindrical drink
